name,number,img_url,link,img
Rhian Brewster,24,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/72/thumb_71688_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/rhian-brewster,"<img alt= ""Rhian Brewster"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/72/thumb_71688_misc_general_500.jpeg"" width = ""100""/>"
Divock Origi,27,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/71/thumb_70001_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/divock-origi,"<img alt= ""Divock Origi"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/71/thumb_70001_misc_general_500.jpeg"" width = ""100""/>"
Loris Karius,1,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/70/thumb_69989_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/loris-karius,"<img alt= ""Loris Karius"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/70/thumb_69989_misc_general_500.jpeg"" width = ""100""/>"
Nathaniel Clyne,2,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/70/thumb_69952_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/nathaniel-clyne,"<img alt= ""Nathaniel Clyne"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/70/thumb_69952_misc_general_500.jpeg"" width = ""100""/>"
Marko Grujic,16,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/70/thumb_69957_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/marko-grujic,"<img alt= ""Marko Grujic"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/70/thumb_69957_misc_general_500.jpeg"" width = ""100""/>"
Danny Ings,28,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/70/thumb_69959_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/danny-ings,"<img alt= ""Danny Ings"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/70/thumb_69959_misc_general_500.jpeg"" width = ""100""/>"
Adam Bogdan,34,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/50/thumb_49294_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/adam-bogdan,"<img alt= ""Adam Bogdan"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/50/thumb_49294_misc_general_500.jpeg"" width = ""100""/>"
Ryan Kent,40,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/50/thumb_49306_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/ryan-kent,"<img alt= ""Ryan Kent"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/50/thumb_49306_misc_general_500.jpeg"" width = ""100""/>"
Ovie Ejaria,53,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/50/thumb_49298_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/ovie-ejaria,"<img alt= ""Ovie Ejaria"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/50/thumb_49298_misc_general_500.jpeg"" width = ""100""/>"
Sheyi Ojo,54,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/26/thumb_25355_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/sheyi-ojo,"<img alt= ""Sheyi Ojo"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/26/thumb_25355_misc_general_500.jpeg"" width = ""100""/>"
Harry Wilson,59,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/50/thumb_49324_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/harry-wilson,"<img alt= ""Harry Wilson"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/50/thumb_49324_misc_general_500.jpeg"" width = ""100""/>"
Pedro Chirivella,68,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/26/thumb_25335_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/pedro-chirivella,"<img alt= ""Pedro Chirivella"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/26/thumb_25335_misc_general_500.jpeg"" width = ""100""/>"
Kamil Grabara,73,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/70/thumb_69964_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/kamil-grabara,"<img alt= ""Kamil Grabara"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/70/thumb_69964_misc_general_500.jpeg"" width = ""100""/>"
Allan,,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/24/thumb_23741_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/allan,"<img alt= ""Allan"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/24/thumb_23741_misc_general_500.jpeg"" width = ""100""/>"
Taiwo Awoniyi,,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/69/thumb_68336_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/taiwo-awoniyi,"<img alt= ""Taiwo Awoniyi"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/69/thumb_68336_misc_general_500.jpeg"" width = ""100""/>"
